연번,회사명칭,위치,면적(제곱미터),사업분야,입주계약
1,OCI㈜,3공구,271395.6,"폴리실리콘, 카본소재",2013-03
2,OCISE㈜,2공구,162180.7,"스팀, 전기(열병합발전소)",2013-09
3,도레이첨단소재㈜,2공구,215036.1,"PPS(자동차, 기계관련 경량화 부품소재) 등 고분자 소재 ",2014-01
4,솔베이실리카코리아㈜,2공구,69991.1,고분산실리카(친환경타이어소재),2015-02
5,㈜이씨에스,2공구,6612,"열교환기, 탱크류",2015-02
6,㈜네모이엔지,2공구,66000,수상태양광부유체,2019-01
7,㈜레나인터내셔널,2공구,76000,"태양광모듈, 태양광구조물, 에너지 저장장치",2019-04
8,㈜풍림파마텍,1공구,33000,주사기 등 의료용품,2019-05
9,㈜테크윈,2공구,19900,수상태양광부유체,2019-06
10,㈜우석에이엠테크,2공구,23196.3,스마트 계량기,2019-07
11,다스코㈜,2공구,65998.6,"선조립 철근, 데크플레이트",2019-11
12,(재)건설기계부품연구원,2공구,17000,스마트 건설기계 시험·연구센터 ,2019-12
13,(재)한국산업기술시험원,2공구,21000,수상 태양광 평가 센터 ,2019-12
14,㈜이씨스,1공구,10709.7,자동차 전기장치 및 무선통신장비,2019-12
15,에디슨모터스㈜,1공구,106174.1,"전기버스, 전기트럭, 전기SUV",2020-01
16,㈜대창모터스,1공구,50000,"초소형 전기차, 소형전기 화물차, 유틸리티카트 등",2020-01
17,쏠에코㈜,2공구,33000.6,"육상·수상 태양광 구조물, 수상태양광부력체",2020-02
18,(유)세미,2공구,20514.2,IoT 융복합 태양광 가로등 등,2020-03
19,(재)자동차융합기술원,1공구,16500,테크비즈 프라자(상용차 핵심부품 연구ㆍ기술개발 지원 ),2020-10
20,(재)전북테크노파크,2공구,7296,에너지산업융복합단지 지원센터(연구개발ㆍ사업화 지원),2020-12
21,에이치디현대플라스포㈜,1공구,16489.5,전력변환장치,2020-12
22,와이에이치에너지㈜,2공구,39982.7,재생에너지 설비,2021-01
23,㈜주왕산업,2공구,26284,"수배전반, 자동제어반",2021-01
24,(재)전북테크노파크(2차),2공구,1653,신재생에너지전문인력양성센터,2021-04
25,㈜평강B.I.M,1공구,64807.9,"구난차량 제작, 전착도장",2021-07
26,제일폴리캠㈜,1공구,35945,합성수지 제조,2021-09
27,㈜에스씨,1공구,22888,디스플레이 응용설비 및 자동화 설비,2021-11
28,이피캠텍㈜,1공구,32500,"광개시제, 이차전지 전해질 제조",2021-11
29,(재)한국건설생활환경시험연구원,2공구,5000,"기술검사 서비스, 시험, 연구",2021-12
30,㈜천보비엘에스,1공구,171164.5,이차전지 전해질,2021-12
31,㈜이씨스(2차),1공구,9125,자동차 전기장치 및 무선통신장비 ,2022-01
32,두산퓨얼셀㈜,5공구,79203.9,발전용 연료전지 제조,2022-03
33,㈜풍천엔지니어링,1공구,7152.2,산업용 냉장 및 냉동 장비(냉각탑),2022-03
34,㈜산하첨단소재,2공구,12083,"첨단정밀소재(화장품, 의약품, 반도체 제조용)",2022-03
35,㈜배터리솔루션,2공구,16600,이차전지 양극재,2022-05
36,(유)촌빛바이오,2공구,5180.9,유기농 식물 성장제,2022-05
37,㈜대흥씨씨유,2공구,15200,"액화탄산가스, 드라이아이스",2022-06
38,한국에너지공단,2공구,14000,해상풍력 지원센터(교육연구개발서비스),2022-08
39,성일하이텍㈜,2공구,75429.4,이차전지 양극원소재 제조,2022-09
40,디앨㈜,1공구,34211,차제 및 특장차 제조업,2022-10
41,㈜동명기업,2공구,14478,"축전지 제조업, 기타 기초 무기화학 물질 제조업",2022-10
42,㈜테이팩스,1공구,77529.7,이차전지용 점·접착테이프,2022-11
43,아리울행복솔라㈜,2공구,33000,창업클러스터,2022-12
44,에스이머티리얼즈㈜,2공구,22192.2,이차전지 리튬화합물,2022-12
45,대주전자재료㈜,6공구,187371,이차전지용 실리콘 음극재,2022-12
46,한국샤먼텅스텐금속재료㈜,2공구,10002.2,산화텅스텐 등,2022-12
47,군산시,5공구,39200,자동차 수출비즈니스센터 ,2022-12
48,유니테스트,1공구,63600,태양광 모듈 등 ,2022-12
49,한국에너지기술평가원,2공구,50249.7,차량 충전용 수소 및 전기,2022-12
50,㈜신진이엔티,2공구,18491,"유압실린더, 산업기계 ",2023-02
51,군산자동차무역센터㈜,5공구,158624,자동차 수출비즈니스센터 ,2023-02
52,㈜솔머티리얼즈,1공구,34226.7,산업용 가스,2023-03
53,㈜덕산테코피아,2공구,93036,이차전지 전해질,2023-03
54,㈜하이드로리튬,1공구,99900,이차전지 리튬화합물,2023-03
55,㈜어반리튬,1공구,61000,이차전지 리튬화합물,2023-03
56,㈜풍림파마텍(2차),1공구,13228.3,의료기기 ,2023-03
57,지이엠코리아뉴에너지머티리얼즈㈜,6공구,330000,이차전지 전구체,2023-03
58,㈜에코앤드림,1공구,148400,이차전지 양극활물질 전구체,2023-04
59,㈜리카본솔루션즈,1공구,29000,탄소저감설비,2023-04
60,㈜이디엘,5공구,112397,이차전지 소재(리튬염),2023-07
61,㈜제이아이테크,2공구,31508,반도체용 프리커서 등,2023-07
62,성일하이텍㈜(2차),2공구,12561.1,이차전지 소재(NCM 액상),2023-08
63,엘에스엘앤에프배터리솔루션㈜,5공구,132200,이차전지 양극활물질 전구체,2023-11
64,㈜에이원신소재,5공구,96610,이차전지 음극재,2023-12
65,군산시(수산식품수출가공종합단지),2공구,33058,수산물 가공 및 저장 처리,2023-12
66,한국광해광업공단,6공구,179004,보관 및 창고업(자원비축시설),2024-02
67,백광산업㈜,5공구,107367,이차전지 전해액 원료 및 반도체 공정 소재,2024-03
68,한국특수가스,1공구,17711.2,산업용 가스,2024-05
69,엘에스엠앤엠,5공구,205603,이차전지용 고순도 금속화합물,2024-05
70,엠에스이엔지,1공구,14885.1,건설기계 기자재 및 플랜트 등 기계설비,2024-07
71,디알티,1공구,13228.8,이차전지 재활용,2024-09
72,㈜성현,2공구,16343,에너지 저장장치 제조,2024-11
73,백광산업㈜ 2차,6공구,338133,화학물질 제조,2024-12
