지역,토지소재,본번,부번,지목, 면적(제곱미터) ,비 고
군산,비응도동,122,0,제방,857.4,
군산,비응도동,122,1,제방,837.6,
군산,비응도동,123,0,제방,223251.7,
군산,비응도동,124,0,도로,165990.4,
군산,비응도동,125,0,잡종지,546600.1,
군산,비응도동,126,0,잡종지,285897.4,
군산,비응도동,127,0,도로,109816.1,
군산,비응도동,128,0,잡종지,3253.2,
군산,비응도동,128,1,주차장,7530.2,
군산,비응도동,129,0,주차장,1855.7,
군산,비응도동,129,1,잡종지,2219.2,
군산,비응도동,130,0,잡종지,6829.8,
군산,비응도동,131,0,잡종지,6338.6,
군산,비응도동,132,0,제방,47417.6,
군산,오식도동,1015,0,공장용지,69991.1,
군산,오식도동,1016,0,공장용지,162180.7,
군산,오식도동,1017,0,잡종지,5559.9,
군산,오식도동,1018,0,공장용지,6613.3,
군산,오식도동,1019,0,대,1651,
군산,오식도동,1020,0,대,3470.9,
군산,오식도동,1021,0,대,1280.9,
군산,오식도동,1022,0,대,1280.2,
군산,오식도동,1023,0,대,1453.3,
군산,오식도동,1024,0,공장용지,6776,
군산,오식도동,1025,0,공장용지,215036.1,
군산,오식도동,1026,0,공장용지,17250.1,
군산,오식도동,1027,0,공장용지,41198.1,
군산,오식도동,1029,0,대,2088.9,
군산,오식도동,1030,0,대,2132.2,
군산,오식도동,1031,0,대,1279.8,
군산,오식도동,1032,0,공장용지,10709.7,
군산,오식도동,1032,1,공장용지,9125,
군산,오식도동,1033,0,대,16987.1,
군산,오식도동,1034,0,대,21016.9,
군산,오식도동,1035,0,공장용지,20514.2,
군산,오식도동,1036,0,공장용지,23196.3,
군산,오식도동,1037,0,공장용지,66017.6,
군산,오식도동,1038,0,공장용지,16380,
군산,오식도동,1039,0,공장용지,3520,
군산,오식도동,1040,0,공장용지,76020,
군산,오식도동,1041,0,공장용지,24858.9,
군산,오식도동,1042,0,공장용지,8143.7,
군산,오식도동,1043,0,공장용지,65998.6,
군산,오식도동,1044,0,공장용지,99174.1,
군산,오식도동,1045,0,대,1451,
군산,오식도동,1046,0,공장용지,13222.8,
군산,오식도동,1046,1,공장용지,29000,
군산,오식도동,1046,2,공장용지,10313.3,
군산,오식도동,1047,0,공장용지,32952.5,
군산,오식도동,1048,0,대,1728.6,
군산,오식도동,1049,0,대,2033.8,
군산,오식도동,1050,0,대,2100.3,
군산,오식도동,1051,0,대,2360.2,
군산,오식도동,1052,0,대,2433,
군산,오식도동,1053,0,대,3248.4,
군산,오식도동,1054,0,대,3209.6,
군산,오식도동,1055,0,대,3202.3,
군산,오식도동,1056,0,공장용지,39982.7,
군산,오식도동,1057,0,공장용지,12561.1,
군산,오식도동,1058,0,공장용지,26284,
군산,오식도동,1059,0,잡종지,2636,
군산,오식도동,1060,0,공장용지,34411.1,
군산,오식도동,1061,0,공장용지,10002.2,
군산,오식도동,1062,0,공장용지,7152.2,
군산,오식도동,1063,0,공장용지,16489.5,
군산,오식도동,1064,0,공장용지,13228.3,
군산,오식도동,1065,,공장용지,16500.1,
군산,오식도동,1066,,공장용지,18490.5,
군산,오식도동,1067,,공장용지,5180.9,
군산,오식도동,1068,,공장용지,6993.6,
군산,오식도동,1069,,공장용지,64784.3,
군산,오식도동,1070,,공장용지,171164.5,
군산,오식도동,1071,,대,1280.7,
군산,오식도동,1072,,공장용지,50000,
군산,오식도동,1073,,공장용지,32064.6,
군산,오식도동,1074,,공장용지,22877.1,
군산,오식도동,1075,,공장용지,32496.8,
군산,오식도동,1076,0,공장용지,17711.2,
군산,오식도동,1077,,공장용지,14885.1,
군산,오식도동,1078,,공장용지,14992.7,
군산,오식도동,1079,,공장용지,35920,
군산,오식도동,1080,,대,50249.7,
군산,오식도동,1081,,대,4979.6,
군산,오식도동,1082,,대,7297.6,
군산,오식도동,1083,,대,1654.3,
군산,오식도동,1084,,대,14189.3,
군산,옥도면신시도리,255,0,제방,29931.1,
군산,옥도면신시도리,255,1,제방,195.6,
군산,옥도면신시도리,255,2,제방,232.8,
군산,옥도면신시도리,256,0,도로,68651.1,
군산,옥도면신시도리,256,1,도로,2042.2,
군산,옥도면신시도리,256,2,도로,317.2,
군산,옥도면신시도리,256,3,도로,64.4,
군산,옥도면신시도리,256,4,도로,2503.7,
군산,옥도면신시도리,257,0,잡종지,709883.3,
군산,옥도면신시도리,258,0,제방,38578.8,
군산,옥도면신시도리,259,0,제방,2757.3,
군산,옥도면신시도리,260,0,잡종지,2641.6,
군산,옥도면신시도리,261,0,대,1346,
군산,옥도면신시도리,262,0,잡종지,6112,
군산,옥도면신시도리,262,1,잡종지,236.5,
군산,옥도면신시도리,262,2,잡종지,109.2,
군산,옥도면신시도리,263,0,잡종지,3144.6,
군산,옥도면신시도리,263,1,잡종지,105.5,
군산,옥도면신시도리,264,0,제방,10965.3,
군산,옥도면신시도리,265,0,잡종지,6612.8,
군산,옥도면신시도리,266,0,잡종지,1954.4,
군산,옥도면신시도리,266,1,잡종지,11639.9,
군산,옥도면신시도리,266,2,잡종지,5444.6,
군산,옥도면신시도리,266,3,잡종지,20.8,
군산,옥도면신시도리,266,4,잡종지,2239.9,
군산,옥도면야미도리,155,0,제방,231379.5,
군산,옥도면야미도리,156,0,도로,228163.2,
군산,옥도면야미도리,156,1,도로,1015.9,
군산,옥도면야미도리,156,2,도로,1769.1,
군산,옥도면야미도리,157,0,잡종지,142315.5,
군산,옥도면야미도리,158,0,도로,98014.1,
군산,옥도면야미도리,159,0,주차장,9153.1,
군산,옥도면야미도리,159,1,대,1279,
군산,옥도면야미도리,159,2,잡종지,6737.9,
군산,옥도면야미도리,160,0,잡종지,116143.5,
군산,옥도면야미도리,161,0,잡종지,11898,
군산,옥도면야미도리,162,0,잡종지,1710.9,
군산,옥도면야미도리,163,0,도로,111.5,
군산,옥도면야미도리,164,0,잡종지,1922.2,
군산,옥도면야미도리,165,0,잡종지,1548,
군산,옥도면야미도리,166,0,잡종지,1128023.6,
군산,옥도면야미도리,167,0,잡종지,94293.4,
군산,옥도면야미도리,167,1,대,1000,
군산,옥도면야미도리,168,0,잡종지,3214.7,
군산,옥도면야미도리,169,0,잡종지,1569.3,
군산,옥도면야미도리,170,0,잡종지,317.3,
군산,옥도면야미도리,171,0,제방,30799.6,
군산,옥도면야미도리,172,0,제방,63675.5,
김제,진봉면 심포리,2413,0,대,20771.3,
김제,진봉면심포리,2414,0,제방,341264,
김제,진봉면심포리,2415,0,도로,271177.2,
김제,진봉면심포리,2416,0,주차장,6111.4,
김제,진봉면심포리,2417,0,잡종지,20624.5,
김제,진봉면심포리,2418,0,제방,192.6,
김제,진봉면심포리,2419,0,유지,6990.2,
김제,진봉면심포리,2420,0,제방,116014.6,
김제,진봉면심포리,2421,0,잡종지,1731.8,
김제,진봉면심포리,2422,0,잡종지,11270.6,
김제,진봉면심포리,2423,0,잡종지,84439.8,
김제,진봉면심포리,2424,0,도로,169884.3,
김제,진봉면심포리,2425,0,잡종지,18489.6,
김제,진봉면심포리,2426,0,잡종지,31029.9,
김제,진봉면심포리,2427,0,잡종지,16049.8,
김제,진봉면심포리,2428,0,주차장,16482.6,
김제,진봉면심포리,2429,0,잡종지,10740.5,
김제,진봉면심포리,2430,0,잡종지,82865.3,
김제,진봉면심포리,2431,0,주차장,12838.1,
김제,진봉면심포리,2432,0,잡종지,100138.9,
김제,진봉면심포리,2433,0,주차장,15176.7,
김제,진봉면심포리,2434,0,잡종지,12979.6,
김제,진봉면심포리,2435,0,잡종지,129868.6,
김제,진봉면심포리,2436,0,잡종지,3397,
김제,진봉면심포리,2437,0,잡종지,2545.7,
김제,진봉면심포리,2438,0,잡종지,8003.1,
김제,진봉면심포리,2439,0,잡종지,30251.1,
김제,진봉면심포리,2440,0,잡종지,106875.3,
김제,진봉면심포리,2441,0,잡종지,5913.1,
김제,진봉면심포리,2442,0,제방,27698.3,
김제,진봉면심포리,2443,0,잡종지,6996.4,
김제,진봉면심포리,2444,0,제방,71.3,
부안,변산면 대항리,572,0,제방,33549.8,
부안,변산면 대항리,573,0,대,22182.7,
부안,변산면 대항리,574,0,도로,1679.6,
부안,변산면 대항리,575,0,잡종지,19426.1,
부안,변산면 대항리,576,0,잡종지,11475.6,
부안,변산면 대항리,577,0,잡종지,22466.3,
부안,변산면 대항리,578,0,잡종지,4165.3,
부안,변산면 대항리,579,0,주차장,8120.4,
부안,변산면 대항리,580,0,도로,133281.7,
부안,변산면 대항리,581,0,잡종지,5251.1,
부안,변산면 대항리,582,0,잡종지,3832.3,
부안,변산면 대항리,583,0,제방,108261.5,
부안,변산면 대항리,586,0,대,989.8,
부안,변산면 대항리,588,0,잡종지,2582.8,
부안,변산면 대항리,589,0,잡종지,75832.5,
부안,변산면 대항리,590,0,도로,43489.3,
부안,변산면 대항리,591,0,잡종지,249905,
부안,변산면 대항리,592,0,제방,48406.4,
부안,변산면 대항리,593,0,제방,12239.2,
부안,변산면 대항리,594,0,잡종지,24132.3,
부안,변산면 대항리,595,0,도로,14414.8,
부안,변산면 대항리,596,0,잡종지,3863.7,
부안,변산면 대항리,597,0,대,626,
부안,변산면 대항리,598,0,잡종지,3257,
부안,변산면 대항리,599,0,잡종지,26143.9,
부안,변산면 대항리,600,0,주차장,594.9,
부안,변산면 대항리,601,0,잡종지,5290.9,
부안,변산면 대항리,602,0,도로,5270.4,
부안,변산면 대항리,660,0,잡종지,1000000,2021.12.23. 초입지
부안,하서면 장신리,2402,0,유원지,785892,2021.12.23. 환경생태용지
